epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.54175,1.49834,3.13699,1.29515,0.86678,0.01299,0.11854,0.05512,1.3999,3.37535,1.10974,0.000545744,0.000545744,0.000545744
2,12.379,1.40412,2.20232,1.23284,0.47691,0.31276,0.35634,0.19065,1.54844,2.69037,1.31958,0.00109051,0.00109051,0.00109051
3,18.07,1.34487,1.90937,1.2167,0.40481,0.73847,0.43253,0.23548,1.56891,2.53853,1.27895,0.00162427,0.00162427,0.00162427
4,23.6612,1.4095,1.73426,1.23259,0.44732,0.70132,0.46068,0.24099,1.58523,1.5981,1.243,0.00161749,0.00161749,0.00161749
5,29.2479,1.33979,1.58137,1.20225,0.45526,0.79766,0.47673,0.25433,1.62119,1.42784,1.28271,0.00160099,0.00160099,0.00160099
6,34.7676,1.36987,1.51018,1.21663,0.44629,0.72746,0.46525,0.24786,1.59868,1.46629,1.24725,0.00158448,0.00158448,0.00158448
7,40.1976,1.37203,1.44314,1.21632,0.46742,0.77818,0.47854,0.24884,1.69003,1.48051,1.30966,0.00156798,0.00156798,0.00156798
8,45.6113,1.31194,1.41303,1.1965,0.45432,0.80116,0.49066,0.28208,1.44412,1.34614,1.17015,0.00155148,0.00155148,0.00155148
9,51.0309,1.3235,1.40317,1.19051,0.44508,0.75706,0.47786,0.25049,1.67704,1.42793,1.2724,0.00153497,0.00153497,0.00153497
10,56.5442,1.30047,1.33297,1.17687,0.43157,0.80269,0.48854,0.27274,1.53729,1.44278,1.25044,0.00151847,0.00151847,0.00151847
11,62.0817,1.30704,1.32551,1.17544,0.43518,0.82309,0.48808,0.25903,1.61663,1.36442,1.24346,0.00150197,0.00150197,0.00150197
12,67.6358,1.30747,1.3009,1.17377,0.458,0.75571,0.47314,0.21091,1.96738,1.50632,1.38027,0.00148546,0.00148546,0.00148546
13,73.116,1.26045,1.26871,1.1574,0.4609,0.836,0.49471,0.25171,1.75228,1.37382,1.28573,0.00146896,0.00146896,0.00146896
14,78.6118,1.23238,1.26427,1.13943,0.4463,0.79479,0.48009,0.27132,1.54698,1.31911,1.19909,0.00145246,0.00145246,0.00145246
15,84.1333,1.24359,1.23923,1.14959,0.46904,0.85125,0.52625,0.31645,1.47807,1.26185,1.17335,0.00143595,0.00143595,0.00143595
16,89.6434,1.26084,1.25326,1.15309,0.46837,0.85197,0.48866,0.24547,1.80424,1.31524,1.32007,0.00141945,0.00141945,0.00141945
17,95.2066,1.22556,1.19836,1.13731,0.44779,0.86886,0.51574,0.28928,1.5516,1.29587,1.19363,0.00140295,0.00140295,0.00140295
18,100.835,1.27051,1.20095,1.17025,0.44299,0.82841,0.50715,0.28276,1.50818,1.3313,1.16715,0.00138644,0.00138644,0.00138644
19,106.354,1.26411,1.21569,1.14628,0.47081,0.83464,0.53316,0.29902,1.57906,1.28095,1.19802,0.00136994,0.00136994,0.00136994
20,111.955,1.25808,1.21671,1.14339,0.48527,0.78616,0.52488,0.30061,1.52821,1.22276,1.18518,0.00135344,0.00135344,0.00135344
21,117.514,1.24384,1.17826,1.14876,0.4585,0.81092,0.48976,0.28612,1.41815,1.31358,1.13924,0.00133693,0.00133693,0.00133693
22,123.003,1.18319,1.10794,1.11751,0.45648,0.82219,0.48224,0.25599,1.68736,1.27264,1.24346,0.00132043,0.00132043,0.00132043
23,128.66,1.22353,1.17371,1.14023,0.46585,0.79414,0.49118,0.26092,1.66602,1.30975,1.22942,0.00130393,0.00130393,0.00130393
24,134.554,1.20815,1.17812,1.13519,0.46341,0.84513,0.52955,0.27118,1.65344,1.26108,1.24318,0.00128742,0.00128742,0.00128742
25,143.085,1.25957,1.16763,1.14703,0.41898,0.85013,0.47881,0.26148,1.60599,1.30579,1.21164,0.00127092,0.00127092,0.00127092
26,153.801,1.20946,1.12918,1.13529,0.45685,0.85013,0.50342,0.25571,1.72297,1.29497,1.28793,0.00125442,0.00125442,0.00125442
27,163.672,1.18306,1.10415,1.113,0.42838,0.84513,0.46887,0.25662,1.59733,1.26829,1.20617,0.00123791,0.00123791,0.00123791
28,174.603,1.24221,1.13888,1.14705,0.44487,0.83291,0.48745,0.25981,1.66319,1.26198,1.23364,0.00122141,0.00122141,0.00122141
29,185.056,1.20011,1.10873,1.12071,0.3953,0.82251,0.45777,0.25185,1.64219,1.63987,1.24278,0.00120491,0.00120491,0.00120491
30,195.061,1.19972,1.10729,1.12931,0.43303,0.89334,0.48045,0.23905,1.7557,1.36278,1.2768,0.0011884,0.0011884,0.0011884
31,204.213,1.19907,1.08011,1.10881,0.46113,0.82792,0.4948,0.27941,1.5045,1.25272,1.16417,0.0011719,0.0011719,0.0011719
32,213.472,1.21036,1.08701,1.11706,0.40816,0.78409,0.46281,0.22744,1.77687,1.65917,1.29139,0.0011554,0.0011554,0.0011554
33,223.453,1.24573,1.1292,1.14056,0.43705,0.87785,0.47698,0.24715,1.66653,1.3008,1.23808,0.00113889,0.00113889,0.00113889
34,233.173,1.21295,1.07814,1.13189,0.43128,0.81292,0.44757,0.24611,1.61586,1.48992,1.2173,0.00112239,0.00112239,0.00112239
35,243.21,1.20734,1.08945,1.1313,0.43904,0.81379,0.46719,0.23207,1.76217,1.35196,1.27714,0.00110589,0.00110589,0.00110589
36,253.869,1.18632,1.0868,1.11057,0.38351,0.84998,0.4536,0.24833,1.59662,1.30944,1.20111,0.00108938,0.00108938,0.00108938
37,263.923,1.18855,1.06432,1.11319,0.43054,0.85289,0.47537,0.23491,1.79371,1.34732,1.28275,0.00107288,0.00107288,0.00107288
38,273.962,1.19279,1.04295,1.12181,0.41343,0.78963,0.51274,0.27677,1.59235,1.21625,1.20391,0.00105638,0.00105638,0.00105638
39,284.327,1.19622,1.04347,1.12245,0.47429,0.84576,0.51974,0.31317,1.44182,1.25785,1.14714,0.00103987,0.00103987,0.00103987
40,293.975,1.21529,1.0462,1.12286,0.44428,0.90633,0.50235,0.24386,1.73,1.25624,1.26066,0.00102337,0.00102337,0.00102337
41,303.834,1.14908,1.03124,1.09692,0.41354,0.83415,0.46999,0.22225,1.8001,1.37033,1.31365,0.00100687,0.00100687,0.00100687
