epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.37071,0.44163,0.2634,0.85646,0.58317,0.65222,0.55212,0.39713,1.07131,1.71183,1.11002,0.0019,0.0019,0.0019
2,10.3107,0.47787,0.28164,0.86037,0.58164,0.69795,0.57648,0.41114,1.09499,1.50313,1.10223,0.00389807,0.00389807,0.00389807
3,15.2862,0.48681,0.29211,0.86059,0.56994,0.66252,0.51677,0.36441,1.0919,1.7579,1.12928,0.00589416,0.00589416,0.00589416
4,20.2257,0.53357,0.30586,0.86932,0.43487,0.55004,0.41767,0.27721,1.26995,2.04769,1.16469,0.00788827,0.00788827,0.00788827
5,25.1624,0.62351,0.33001,0.88263,0.54523,0.43368,0.38211,0.14941,2.36948,2.321,2.03943,0.0098804,0.0098804,0.0098804
6,30.7532,0.63228,0.34978,0.88966,0.4967,0.12841,0.10092,0.04038,2.5352,5.35078,2.14669,0.00997525,0.00997525,0.00997525
7,35.7058,0.66269,0.3631,0.90255,0.54059,0.54589,0.38442,0.19765,1.80105,2.31248,1.52828,0.0099703,0.0099703,0.0099703
8,40.6769,0.703,0.38334,0.92198,0.49864,0.55016,0.4586,0.24221,1.87348,2.50998,1.50674,0.00996535,0.00996535,0.00996535
9,45.6082,0.75856,0.39292,0.93139,0.5404,0.62594,0.5506,0.3465,1.39953,2.06988,1.24105,0.0099604,0.0099604,0.0099604
10,50.6281,0.70128,0.38337,0.91855,0.52152,0.26459,0.18083,0.05704,2.73073,4.59122,2.27296,0.00995545,0.00995545,0.00995545
11,55.5295,0.65417,0.35522,0.89932,0.46401,0.47568,0.2977,0.11362,2.32541,2.55044,1.83142,0.0099505,0.0099505,0.0099505
12,60.3012,0.64514,0.35317,0.90109,0.53485,0.53605,0.48919,0.20486,2.21581,2.00924,1.77218,0.00994555,0.00994555,0.00994555
13,65.1582,0.62494,0.35729,0.89409,0.56784,0.20839,0.14641,0.06512,2.44159,4.22799,2.07968,0.0099406,0.0099406,0.0099406
14,70.3678,0.70183,0.36567,0.91537,0.48697,0.52264,0.40137,0.10869,2.76445,2.41328,2.21204,0.00993565,0.00993565,0.00993565
15,75.5273,0.66149,0.3747,0.90066,0.49727,0.53389,0.44787,0.19401,2.2143,2.28301,1.70258,0.0099307,0.0099307,0.0099307
16,80.7452,0.6378,0.35492,0.90359,0.48018,0.44999,0.29302,0.2108,1.14296,3.01055,1.11885,0.00992575,0.00992575,0.00992575
17,87.402,0.62853,0.35979,0.89841,0.45925,0.55276,0.35087,0.23586,1.25191,2.49197,1.14786,0.0099208,0.0099208,0.0099208
18,93.9212,0.62294,0.36528,0.89338,0.48404,0.60212,0.42793,0.24911,1.50075,1.93272,1.27147,0.00991585,0.00991585,0.00991585
19,100.798,0.61691,0.35848,0.88678,0.56343,0.46597,0.35595,0.11946,2.58124,3.16695,2.1592,0.0099109,0.0099109,0.0099109
20,107.263,0.61181,0.344,0.89334,0.51282,0.48158,0.36614,0.23854,1.2968,2.10311,1.1853,0.00990595,0.00990595,0.00990595
21,113.892,0.6289,0.36062,0.89743,0.49438,0.62478,0.48832,0.34309,1.08566,1.68522,1.09071,0.009901,0.009901,0.009901
22,120.254,0.60678,0.35609,0.88555,0.53847,0.43874,0.3123,0.10898,2.4989,2.44526,1.96952,0.00989605,0.00989605,0.00989605
23,126.928,0.59566,0.35003,0.87793,0.52174,0.47853,0.46247,0.23344,1.83388,2.26024,1.54906,0.0098911,0.0098911,0.0098911
24,133.428,0.6028,0.3517,0.88513,0.517,0.65797,0.49455,0.26747,1.70011,1.88947,1.42993,0.00988615,0.00988615,0.00988615
25,140.269,0.59172,0.33819,0.88477,0.51008,0.57414,0.47483,0.33376,1.12611,1.80016,1.13111,0.0098812,0.0098812,0.0098812
26,146.749,0.61854,0.35595,0.89322,0.61791,0.46202,0.39984,0.20186,1.98424,1.90407,1.63056,0.00987625,0.00987625,0.00987625
27,153.172,0.60014,0.35136,0.88704,0.44383,0.42891,0.34763,0.15133,2.10955,2.11844,1.72422,0.0098713,0.0098713,0.0098713
28,159.825,0.57538,0.33628,0.88692,0.47357,0.50805,0.41654,0.1565,2.37793,2.25768,1.95337,0.00986635,0.00986635,0.00986635
29,166.218,0.60221,0.3376,0.88349,0.41731,0.37897,0.29479,0.11611,2.42197,2.68052,1.90045,0.0098614,0.0098614,0.0098614
30,172.719,0.59385,0.343,0.88549,0.43685,0.37314,0.27682,0.1367,1.92228,2.64063,1.54429,0.00985645,0.00985645,0.00985645
31,179.273,0.58096,0.33658,0.88795,0.46483,0.48268,0.28494,0.09886,2.45622,2.92482,1.95875,0.0098515,0.0098515,0.0098515
32,186.051,0.60045,0.34858,0.89655,0.49345,0.56061,0.41168,0.16012,2.30524,2.46958,1.86446,0.00984655,0.00984655,0.00984655
33,192.544,0.59961,0.34495,0.88565,0.47004,0.57469,0.39293,0.13783,2.53387,2.30666,2.06803,0.0098416,0.0098416,0.0098416
34,199.109,0.62016,0.35157,0.89146,0.53645,0.64554,0.56082,0.40473,1.04604,1.77709,1.05744,0.00983665,0.00983665,0.00983665
