epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.17359,0.52689,0.31358,0.91373,0.69628,0.56245,0.60565,0.43544,1.20746,1.48479,1.4835,0.000541775,0.000541775,0.000541775
2,9.66431,0.52048,0.32342,0.92419,0.6156,0.67018,0.61073,0.43391,1.25,1.41568,1.48388,0.00108658,0.00108658,0.00108658
3,14.3463,0.55596,0.34873,0.92268,0.58591,0.62195,0.62257,0.42932,1.22107,1.43175,1.49026,0.00162038,0.00162038,0.00162038
4,18.7742,0.60948,0.38681,0.94378,0.55545,0.52712,0.54102,0.38818,1.20751,1.54014,1.44822,0.00161749,0.00161749,0.00161749
5,23.0661,0.61149,0.38915,0.96001,0.59609,0.61419,0.5431,0.37704,1.27466,1.60707,1.47049,0.00160099,0.00160099,0.00160099
6,27.3586,0.61538,0.39225,0.94944,0.43449,0.77744,0.53487,0.38962,1.16621,1.79229,1.40567,0.00158448,0.00158448,0.00158448
7,31.7371,0.63721,0.40654,0.96056,0.60257,0.48088,0.51722,0.36932,1.22475,1.84474,1.44034,0.00156798,0.00156798,0.00156798
8,36.1118,0.69074,0.42379,0.99298,0.60412,0.63349,0.61789,0.44415,1.18014,1.38652,1.35483,0.00155148,0.00155148,0.00155148
9,40.5087,0.6589,0.40023,0.96254,0.54342,0.65521,0.6123,0.43626,1.21836,1.50331,1.44973,0.00153497,0.00153497,0.00153497
10,44.8303,0.63325,0.39944,0.95996,0.70627,0.56685,0.62389,0.43548,1.17754,1.29375,1.39256,0.00151847,0.00151847,0.00151847
11,49.1598,0.64896,0.40392,0.96841,0.52906,0.59791,0.54445,0.39764,1.17139,1.5613,1.4427,0.00150197,0.00150197,0.00150197
12,53.4954,0.62976,0.39262,0.95332,0.5986,0.58323,0.56751,0.40741,1.20099,1.64084,1.42499,0.00148546,0.00148546,0.00148546
13,57.9321,0.63381,0.39607,0.96283,0.63199,0.59867,0.58736,0.44122,1.078,1.46189,1.35822,0.00146896,0.00146896,0.00146896
14,62.2937,0.64595,0.40538,0.9805,0.58587,0.55984,0.49844,0.3479,1.25072,1.75375,1.45707,0.00145246,0.00145246,0.00145246
15,66.6203,0.63827,0.41056,0.96154,0.56761,0.69307,0.56859,0.37984,1.24956,1.46485,1.48599,0.00143595,0.00143595,0.00143595
16,70.9649,0.62512,0.4027,0.94475,0.6034,0.64385,0.60141,0.42727,1.21603,1.4615,1.47199,0.00141945,0.00141945,0.00141945
17,75.3751,0.63088,0.39151,0.94594,0.58107,0.60643,0.58338,0.42061,1.18198,1.39662,1.42339,0.00140295,0.00140295,0.00140295
