epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.03295,3.93339,5.54826,4.46121,0,0,0,0,4.81421,4.45344,4.05432,0.0706122,0.00326531,0.00326531
2,10.8163,3.12245,4.08824,3.75101,9e-05,0.0061,5e-05,1e-05,4.69569,4.60616,3.99297,0.0405469,0.00653331,0.00653331
3,15.4094,2.70036,3.37524,2.93216,0.20267,0.11613,0.06932,0.0219,3.22921,3.44106,3.02733,0.0104156,0.00973532,0.00973532
4,20.0455,2.32956,2.92311,2.53511,0.37086,0.49501,0.25878,0.09797,2.32329,2.49671,2.47673,0.009703,0.009703,0.009703
5,24.8454,2.00504,2.44322,2.1977,0.21553,0.24751,0.1929,0.0645,2.3384,2.25411,2.22955,0.009604,0.009604,0.009604
6,29.6322,1.77878,2.27402,1.98556,0.34325,0.04545,0.13103,0.05284,2.66476,3.54915,2.66484,0.009505,0.009505,0.009505
7,34.6673,1.73211,2.02739,1.91993,0.37942,0.56458,0.33794,0.16951,1.80531,1.82671,1.8369,0.009406,0.009406,0.009406
8,39.2346,1.58828,1.85088,1.8055,0.41233,0.6372,0.40832,0.20506,1.76606,1.7449,1.78616,0.009307,0.009307,0.009307
9,43.7623,1.57736,1.80736,1.7689,0.44687,0.61055,0.38929,0.20955,1.67208,2.07086,1.70967,0.009208,0.009208,0.009208
10,48.2241,1.47672,1.66928,1.68139,0.42138,0.58387,0.41257,0.19956,1.83735,1.692,1.84231,0.009109,0.009109,0.009109
11,52.6515,1.46201,1.5989,1.66852,0.45855,0.62306,0.41648,0.18804,1.92077,1.60892,1.96426,0.00901,0.00901,0.00901
12,56.9763,1.43154,1.51832,1.63671,0.41375,0.69374,0.4208,0.22089,1.63599,1.61203,1.66491,0.008911,0.008911,0.008911
13,61.3425,1.42118,1.49768,1.64429,0.41787,0.61086,0.41971,0.20643,1.85598,1.57615,1.82118,0.008812,0.008812,0.008812
14,65.6929,1.37634,1.44894,1.56356,0.43758,0.68497,0.42513,0.21048,1.72664,1.53822,1.76468,0.008713,0.008713,0.008713
15,70.0315,1.34175,1.43417,1.56308,0.42221,0.64662,0.4019,0.24075,1.55345,1.60405,1.56059,0.008614,0.008614,0.008614
16,74.3684,1.34177,1.37677,1.56897,0.41227,0.67101,0.3971,0.20368,1.66527,1.70483,1.68341,0.008515,0.008515,0.008515
17,78.759,1.3462,1.3958,1.55841,0.47656,0.66408,0.4633,0.28232,1.38452,1.34669,1.48308,0.008416,0.008416,0.008416
18,83.123,1.31685,1.35301,1.53089,0.43465,0.72905,0.45889,0.262,1.4515,1.30646,1.52212,0.008317,0.008317,0.008317
19,87.582,1.27962,1.33028,1.50053,0.45614,0.65272,0.46157,0.28231,1.48301,1.45072,1.57705,0.008218,0.008218,0.008218
20,92.051,1.28454,1.31558,1.50274,0.44642,0.70494,0.47015,0.25736,1.62427,1.42705,1.60462,0.008119,0.008119,0.008119
